tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,tweet_length,cleaned_tweet
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive emotion,129,find amp start impromptu parties at sxsw with i cant wait til the android app comes out
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive emotion,133,foursquare ups the game just in time for sxsw still prefer by far best looking android app to date
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,142,gotta love this sxsw google calendar featuring top parties show cases to check out rt via gt
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,65,great sxsw ipad app from
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,82,haha awesomely rad ipad app by hollergram sxsw
Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,92,holler gram for ipad on the itunes app store via sxsw
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,128,i just noticed dst is coming this weekend how many iphone users will be an hour late at sxsw come sunday morning sxsw iphone
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,126,just added my sxsw flights to matching people on planesairports also downloaded the iphone app nicely done
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,118,must have sxsw app rt lovely review from forbes for our sxsw ipad app holler gram
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,106,need to buy an ipad2 while im in austin at sxsw not sure if ill need to q up at an austin apple store
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,127,oh my god the sxsw app for ipad is pure unadulterated awesome its easier to browse events on ipad than on the website
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,82,okay this is really it yay new for android app11 kthxbai sxsw
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,94,photo just installed the sxsw iphone app which is really nice
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,144,really enjoying the changes in gowalla 30 for android looking forward to seeing what else they amp foursquare have up their sleeves at sxsw
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,155,rt im looking forward to the smcdallas pre sxsw party wed and hoping ill win an ipad resulting from my shameless promotion chevysmc
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,107,rt haha awesomely rad ipad app by hollergram sxsw via
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,84,someone started an austin group in google groups presxsw great idea
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,139,the new 4sq3 looks like it is going to rock update for iphone and android should push tonight sxsw keepaustinweird
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,94,they were right the 3 app on android is sweeeeet nice job by the team there sxsw
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,115,very smart from hollergram ipad app for sxsw may leave my vuvuzela at home now
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,134,you must have this app for your ipad if you are going to sxsw hollergram
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,No emotion toward brand or product,99,attn all sxsw frineds register for gdgtlive and see cobra iradar for android link
Anyone at  #sxsw want to sell their old iPad?,,No emotion toward brand or product,45,anyone at sxsw want to sell their old ipad
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,No emotion toward brand or product,77,anyone at sxsw who bought the new ipad want to sell their older ipad to me
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product,108,at sxsw oooh rt google to launch major new social network called circles possibly today link
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,141,the best rt ha first in line for ipad2 at sxsw quotpopupquot apple store was an event planner eventprofs pcma engage365
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,No emotion toward brand or product,117,spin play a new concept in music discovery for your ipad from amp spincom link itunes sxsw
@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,119,false alarm google circles not coming nowand probably not ever link google circles social sxsw
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product,70,vatornews google and apple force print media to evolve link sxsw
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,144,great weather to greet you for sxsw still need a sweater at nightapple putting up quotflash storequot downtown to sell ipad2
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",,No emotion toward brand or product,128,hootsuite hootsuite mobile for sxsw updates for iphone blackberry amp android whether youre getting friend link
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,,No emotion toward brand or product,129,hey sxsw how long do you think it takes us to make an iphone case answer using zazzlesxsw and well make you one
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product,74,mashable the ipad 2 takes over sxsw video ipad sxsw gadgets link
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,123,for ipad rt new ubersocial for iphone now in the app store includes uberguide to sxsw sponsored by link
#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,108,ipad2 s smartcover opens to instant access i should have waited to get one link apple sxsw
Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,Positive emotion,91,handheld hobo drafthouse launches hobo with a shotgun iphone app sxsw link
HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,91,hooray rt apple is opening a popup store in austin for sxsw link
Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,,No emotion toward brand or product,88,orly google set to launch new social network circles today at sxsw
wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,77,wooooo apple store downtown austin open til midnight sxsw
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,141,khoi vinh says conde nasts headlong rush into ipad publishing was a quotfundamental misunderstandingquot of the platform sxsw
"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product,128,link lt help me forward this doc to all anonymous accounts techiesamp ppl who can help us jam libya sxsw
÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,79,what link edchat musedchat sxsw sxswi classical newtwitter
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product,92,on the locationbased fast fun and future link via sxsw
ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,,No emotion toward brand or product,117,google will connect the digital amp physical worlds through mobile link sxsw
ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive emotion,117,talking about link googles effort to allow users to have open systems bettercloud sxsw
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,145,link rt quotgoogle before you tweetquot is the new quotthink before you speakquot mark belinsky 911tweets panel at sxsw
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,127,link rt 1st stop on the sxsw chaos amp hunt austin java get in the spy game 4 a chance 2 win an ipad
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product,90,link rt those at sxsw check out the holler gram ipad app from link
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product,75,amp having fun at google pic sxsw link
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product,126,quotvia link guy kawasaki talks enchanted at sxsw he knows his stuff books internet apple sxsw quot
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,90,futuremf link spec for recipes on the web now in google search link sxsw
#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,120,omfg rt heard about apples popup store in downtown austin pics are already on gowalla link sxsw ipad2
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,145,smile rt i think apples quotpopup storequot in austin would be a lot more interesting if it actually you know popped up sxsw
Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,60,again rt line at the apple store is insane sxsw
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product,141,agree rt wait fiona apple is in town somebody kidnap her and put her in a recording studio until she records a new album sxsw
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product,88,at sxsw wanna buy you a drink 7pm at fado on 4th link join us
attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,53,attending ipad design headaches sxsw link
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,94,boooo rt flipboard is developing an iphone version not android says sxsw
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,114,check out amp in line for their ipad 2 in austin power to them sxswi sxsw link
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product,117,check rt giving added value to location based services needs to battle checkin fatigue google pnid sxsw
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product,136,chilcott sxsw stand talking with blogger staff too late to win competition for best tweet mentioning so no tshirt
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,119,do it rt come party w google tonight at sxsw link bands food art ice cream nifty interactive maps
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product,123,gowallas promises to launch foursquare checkin groupon rewardstype service at sxsw fingers crossed link
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product,134,haha rt sxsw news yahoocom is loosing search traffic to new site googlecom doubt it will last tho w that weird name
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,77,holla rt at google party best ever get your butt over here sxsw
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,82,i love my iphone case from sxsw but i cant get my phone out of it fail
I worship @mention {link} #SXSW,,No emotion toward brand or product,31,i worship link sxsw
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product,129,ipad2 rt droid amp mac here rt my agnerd confession using laptop ipad amp blackberry to follow sxsw
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product,123,launching sxsw rt denies social network called circles will debut today despite report link
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,112,new post iphone app makes it easy to connect on all social networks with people you meet link sxsw
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,89,nice that iphone app is behaving today crashes yesterday were ridiculous sxsw
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,112,nice rt apple opening popup store for ipad launch in downtown austin during sxsw link via
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,123,nice rt hey apple fans get a peek at the space thats slated to be a popup sxsw apple store tomorrow link
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,131,one thing is doing so great is get a great down to earth face to google as a company you can only love her sxsw sxwsi
Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product,49,stay tune showcase h4ckers link sxsw
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product,91,thank you for the touchingstories preso sxsw heres their deck link
Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product,53,thank you for an awesome sxsw party link
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product,126,thanks rt if youre trying to contact friends or family in japan has created a person finder link sxsw
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,118,thanks to for her mention of our new speech ipad apps being showcased at the sxsw conf link sxswh sxsh
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,,I can't tell,116,thanks to for publishing the news of new medical apps at the sxswi conf blog link sxsw sxswh
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,120,thanks to for publishing the news of our new medical apps in the sxswi conf blog link sxsw sxswh mhealth
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,106,what sxsw does not provide iphone chargers ive changed my mind about going next year
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product,92,wonder if amp will be in the apple flashmob tcrnchfcs45j sxsw ipad2
Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,No emotion toward brand or product,72,wonder if is putting tips from the api sxsw suxsw
"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,136,xmas rt shiny new apps a new book popup ipad 2 stores sxsw is christmas for nerds
Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,122,yai rt new ubersocial for iphone now in the app store includes uberguide to sxsw sponsored by cont link
"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,No emotion toward brand or product,101,yes rt hey ive got another gem for you gt free sxsw link sxsw
"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,90,fast fun amp future of google presenting at sxsw on search local and mobile
GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product,110,gsdampm amp googles industry party tonight see u there link sxsw austin welivehere gsdm
"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,No emotion toward brand or product,128,new buzz quot google to launch major new social network called circles possibly today link rt sxswquot
Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,119,headline quotipad 2 is the musthave gadget at sxswquot hmm i could have seen that one coming link gadget
ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,,I can't tell,127,quotapple has opened a popup store in austin so the nerds in town for sxsw can get their new ipads link wow
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion,100,know that quotdatavizquot translates to quotsatanicquot on an iphone im just sayin sxsw
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,121,quotgoogle launched checkins a month agoquot check ins are ok but check outs are the future sxsw bizzy
".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,No emotion toward brand or product,135,quotgoogle launched checkins a month agoquot check ins are ok but check outs are the future sxsw bizzy via
"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive emotion,141,quotgoogle before you tweetquot is the new quotthink before you speakquot mark belinsky 911tweets panel at sxsw
"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product,143,attending quotleft brain search google right brain search xquot bettersearch talking about the future of search engines at sxsw
#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,No emotion toward brand or product,130,hp opens quotmobile parkquot amp content incubator at sxsw link apple constructs quotpopupquot store link
"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,137,kawasaki quotnot cs lewis level reasoning but apples continued existence is evidence for the existence of godquot bawling sxsw
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,No emotion toward brand or product,95,kawasaki quotpagemaker saved applequot oh those were the days sxsw jwtatl enchantment
Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,109,kawasaki quotpagemaker saved applequot oh those were the days sxsw jwtatl enchantment via
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion,85,spark for android is up for a teamandroid award at sxsw read about it here link
"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,No emotion toward brand or product,57,unboxing apple sxsw apple store sxsw link
"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,130,sxsw and apple ipad 2s are great but thoughts are w japan and apac regions dealing w earthquake amp tsunami trauma sxswi
"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,No emotion toward brand or product,74,at sxsw apple schools the marketing experts sxsw cnet blogs link
"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,55,at sxsw apple schools the marketing experts link
"At #SXSW, #Apple schools the marketing experts {link}",,No emotion toward brand or product,53,at sxsw apple schools the marketing experts link
"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,77,temporary apple store is def not a tent its a powerhouse gym sxsw link
"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,92,temporary apple store on 6th and congress for sxsw along with 10000 very happy hipsters
ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,122,apple wins sxsw link opening a temporary store in downtown austin to support ipad2 launch that is good
#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive emotion,78,ipad and austin are trending today have fun at sxsw all you nerdy nerds
"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",,No emotion toward brand or product,109,headed to austin for sxsw check out my map for newbies link enjoy
Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,,No emotion toward brand or product,127,funny how austin is trending but not sxsw only a matter of minutes at this point at least according to twitter for iphone
Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,117,christian ipad iphone devs i want to talk to u at sxsw or after maybe we can wk together on cool app me
#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,,No emotion toward brand or product,138,sxsw ux ipad uxdes remember to ultimately be aware of the audience your app is targeted towards an unexpected experience can be good
The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,104,the apple ipad2 has taken sxsw and austin by storm link excited to a be a part mobile
I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,39,i can haz ipad2 ifrom sxsw gr8 link
"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,115,stacks of ipad2s waiting to be bought at sxsw i got mine no hassle at all apple handled this perfectly link
"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",,No emotion toward brand or product,103,googles mobile future and the elusive power of here link via eurorscg sxsw sxswi
"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",,No emotion toward brand or product,87,for those notatsxsw or at sxsw heres link free to download and meet nearby peps
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,Positive emotion,102,does your smallbiz need reviews to play on google placeswe got an app for thatlink seo sxsw
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,,No emotion toward brand or product,101,does your smallbiz need reviews to play on google placeswe got an app for thatlink seo sxsw
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,No emotion toward brand or product,74,samsung sony follow apple hp lead link austin atx sxsw
"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",,No emotion toward brand or product,92,samsung sony follow apple hp lead link austin atx sxsw via rg
"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive emotion,120,take that sxsw rt major south korean director gets 130000 to make a movie entirely with his iphone link
"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,58,beautiful sxsw apple store sxsw pic link
Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,,No emotion toward brand or product,136,q1 was at sxsw sxswi for prep amazing pre push locally focus on location based google owns 10 of the regions billboards pr20chat
Any other #Sxsw accounts I need to follow or apps to download for iPhone?,,No emotion toward brand or product,73,any other sxsw accounts i need to follow or apps to download for iphone
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,,No emotion toward brand or product,116,headed to sxsw and want to sharegather contact info link can turn your iphone into a business card broadcaster
Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},,No emotion toward brand or product,99,headed to sxsw and want to sharegather contact info link can turn your iphone into a link
BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,,No emotion toward brand or product,78,btw the sxsw apple store is sold out of all 3g models vzw amp atampt
Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion,101,must have sxsw app rt lovely review from forbes for our sxsw ipad app holler gram link
Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion,64,temporary sxsw apple store apple being sneaky as usual link
Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,,No emotion toward brand or product,96,anyone at sxsw been by the popup apple store in austin thats gotta be a hopping place today
ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,Positive emotion,111,sxsw beta testing interactive book for ipad app by moonbot studios out of louisiana cool app
Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive emotion,52,apple won sxsw from day one seeing a ton of ipad2
#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,,No emotion toward brand or product,142,fastball sxsw giving away two new ipad2 wifi 32g black apple cover tweet fo more info sxswi attsxsw tonight bolt house
